"","cumsumT","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"cumsumT",0.9667,0.0975,0.0251,0.0379,0.0458,0.1513,0.0517,-0.08,0.1076,-0.0701,0.0951,-0.2539,-0.0568,0.1389,0.0386,0.0538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.0975,0.9906,0.1093,0.371,0.1734,0.0585,-0.0037,0.2358,-0.0326,0.2004,-0.0404,-0.1506,-0.0885,0.0465,0.1488,-0.1094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.0251,0.1093,0.9822,0.1858,0.1059,0.0232,-0.1057,0.0543,0.0649,0.0434,0.0155,-0.2926,-0.0715,0.0025,-0.0972,0.1557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trustlag",0.0379,0.371,0.1858,1,0.2224,0.2954,0.2276,0.002,-0.0215,0.1938,-0.1978,-0.2369,-0.3289,-0.0221,-0.0335,0.2514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Orglag",0.0458,0.1734,0.1059,0.2224,0.9816,0.264,0.3072,0.007,0.0411,0.1115,-0.2203,-0.2605,-0.3124,0.1991,0.0298,0.1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.1513,0.0585,0.0232,0.2954,0.264,0.9957,0.426,0.0123,0.0822,0.1584,0.1637,-0.1533,-0.1445,0.0778,0.2131,0.1772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.0517,-0.0037,-0.1057,0.2276,0.3072,0.426,0.9981,0.0225,0.1058,0.1136,-0.2263,-0.2488,-0.2625,-0.0623,0.1365,0.2715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assertlag",-0.08,0.2358,0.0543,0.002,0.007,0.0123,0.0225,0.9999,0.2875,0.3932,-0.054,-0.2102,-0.1773,-0.1428,0.3387,0.0509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.1076,-0.0326,0.0649,-0.0215,0.0411,0.0822,0.1058,0.2875,0.9995,0.5255,-0.0708,-0.3198,-0.058,-0.064,0.2758,0.0946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Scbltylag",-0.0701,0.2004,0.0434,0.1938,0.1115,0.1584,0.1136,0.3932,0.5255,0.9925,-0.0809,-0.1814,0.0598,-0.1737,0.3768,0.1609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
