"A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur","cumsumT"
44,2,2,3,2,5,1,4,3,5,3,5,5,3,7,0,10,8,4,3,9,7,4,3,3,5,4,3,5,7,4
2,44,6,5,8,4,6,4,2,2,3,6,4,4,3,10,0,7,2,5,6,8,5,9,4,6,11,2,7,3,5
7,3,44,6,1,3,3,3,2,7,11,5,6,5,4,13,9,0,5,7,7,4,6,4,8,3,5,5,3,2,2
4,3,6,44,5,4,6,5,8,5,2,4,4,7,4,6,6,3,0,7,6,6,5,8,4,2,6,8,4,6,6
6,8,4,5,44,3,3,3,8,4,1,1,3,4,1,6,4,4,11,0,16,9,8,2,6,5,8,9,4,6,8
2,4,5,1,3,44,3,5,5,3,3,6,4,6,5,8,3,7,8,13,0,9,6,3,5,4,5,5,8,7,5
3,5,5,6,5,4,44,3,5,5,2,5,3,4,4,12,9,5,3,3,6,0,4,12,4,8,5,2,2,8,7
4,3,6,3,3,2,3,44,6,6,6,7,4,4,3,5,9,6,8,10,6,2,0,13,4,9,7,9,9,5,4
6,6,7,3,8,5,4,6,44,4,5,4,4,4,5,7,6,9,3,4,7,8,14,0,5,9,6,7,4,5,4
3,3,4,4,6,6,6,3,3,44,6,5,4,4,4,2,5,6,6,5,5,6,5,7,0,18,13,5,7,5,8
9,4,2,2,2,4,3,4,4,5,44,2,7,6,6,5,7,5,2,7,10,5,5,5,9,0,9,1,3,3,10
3,3,5,5,4,7,6,5,5,5,9,44,7,6,6,6,7,9,5,7,7,7,0,7,8,16,0,2,8,8,4
6,3,3,6,4,3,2,7,8,6,2,4,44,6,5,6,6,0,2,5,7,2,2,4,6,5,2,0,5,6,4
3,2,2,7,5,3,1,1,3,3,2,4,8,44,4,5,7,4,6,9,5,1,4,5,10,7,7,1,0,5,3
4,5,3,4,5,4,3,3,3,4,4,4,6,3,44,2,5,6,5,9,3,8,4,4,3,6,5,1,2,0,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
