"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"A_Cmpnlag",0.9968,0.0759,0.1128,0.0758,0.0736,0.118,-0.1508,0.3788,0.1744,0.0753,0.0809,0.0384,-0.0608,-0.0959,0.174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.0759,0.9892,0.0749,0.1624,0.2271,0.0293,0.2674,-0.0151,-0.0776,-0.0305,-0.1462,-0.1171,0.3072,0.1726,0.0955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trustlag",0.1128,0.0749,0.9999,-0.0194,0.1684,0.1284,0.0609,0.1183,0.1847,-0.1181,-0.0132,-0.179,-0.0465,-0.0133,0.0973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Orglag",0.0758,0.1624,-0.0194,0.9398,0.2336,0.1015,0.4575,0.2125,0.1272,-0.1343,-0.2088,-0.1441,0.0851,0.0411,0.1348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.0736,0.2271,0.1684,0.2336,0.9994,0.4265,0.1327,0.2223,0.1897,0.0735,-0.0361,-0.1217,0.2038,0.2312,0.4784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.118,0.0293,0.1284,0.1015,0.4265,0.9654,-0.0688,0.4236,-0.0645,0.0606,0.1245,-0.0873,0.1363,-0.0923,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assertlag",-0.1508,0.2674,0.0609,0.4575,0.1327,-0.0688,0.9999,0.129,0.0769,-0.4258,-0.3831,-0.3039,0.1819,0.4593,-0.0992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.3788,-0.0151,0.1183,0.2125,0.2223,0.4236,0.129,0.9999,0.3446,-0.1569,-0.0885,-0.1389,0.0412,0.0102,0.2128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Scbltylag",0.1744,-0.0776,0.1847,0.1272,0.1897,-0.0645,0.0769,0.3446,1,-0.2132,-0.0703,0.0135,-0.0082,-0.004,0.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxtylag",0.0753,-0.0305,-0.1181,-0.1343,0.0735,0.0606,-0.4258,-0.1569,-0.2132,0.9849,0.5788,0.3836,-0.1715,-0.3024,0.3095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Deprlag",0.0809,-0.1462,-0.0132,-0.2088,-0.0361,0.1245,-0.3831,-0.0885,-0.0703,0.5788,0.9892,0.5393,-0.2711,-0.3292,0.2842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_EmoVollag",0.0384,-0.1171,-0.179,-0.1441,-0.1217,-0.0873,-0.3039,-0.1389,0.0135,0.3836,0.5393,0.9943,-0.1103,-0.1533,0.2227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
