"","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"A_Cmpnlag",1,0.1482,0.2173,-0.0699,0.1159,0.2641,0.5434,0.2627,0.1138,-0.1142,-0.2681,-0.3332,0.2212,0.2627,0.2272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.1482,1,-0.1345,0.3126,0.1588,0.6184,0.0946,0.2666,0.5197,0.1661,-0.1068,-0.3062,0.1091,0.5519,0.0808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trustlag",0.2173,-0.1345,1,-0.1809,-0.0627,-0.2646,0.1125,-0.1159,-0.0991,-0.2238,-0.1354,-0.0317,0.3555,-0.0917,0.3371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Orglag",-0.0699,0.3126,-0.1809,1,0.1113,0.6568,-0.1871,0.0518,0.4494,0.2522,-0.1942,-0.3799,0.269,0.4608,-0.0554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",0.1159,0.1588,-0.0627,0.1113,1,0.0258,0.0787,0.3059,0.2041,-0.4331,0.2627,-0.3489,-0.1857,-0.1845,-0.2396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.2641,0.6184,-0.2646,0.6568,0.0258,1,0.1692,0.3392,0.655,0.4121,-0.3343,-0.483,0.0932,0.7951,0.1511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assertlag",0.5434,0.0946,0.1125,-0.1871,0.0787,0.1692,1,0.2054,0.0094,0.2439,-0.4529,-0.0627,-0.0939,0.2462,0.5106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.2627,0.2666,-0.1159,0.0518,0.3059,0.3392,0.2054,1,0.4309,-0.1891,-0.0869,-0.293,-0.1258,0.3011,-0.2494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Scbltylag",0.1138,0.5197,-0.0991,0.4494,0.2041,0.655,0.0094,0.4309,1,0.0778,-0.0582,-0.4016,0.0765,0.5771,-0.0711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.1142,0.1661,-0.2238,0.2522,-0.4331,0.4121,0.2439,-0.1891,0.0778,1,-0.6194,-0.0134,-0.0286,0.5267,0.5593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.2681,-0.1068,-0.1354,-0.1942,0.2627,-0.3343,-0.4529,-0.0869,-0.0582,-0.6194,1,0.1712,-0.1022,-0.5034,-0.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.3332,-0.3062,-0.0317,-0.3799,-0.3489,-0.483,-0.0627,-0.293,-0.4016,-0.0134,0.1712,1,-0.1824,-0.3982,-0.0206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_AesSenslag",0.2212,0.1091,0.3555,0.269,-0.1857,0.0932,-0.0939,-0.1258,0.0765,-0.0286,-0.1022,-0.1824,1,0.2753,0.1462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_CrtvImaglag",0.2627,0.5519,-0.0917,0.4608,-0.1845,0.7951,0.2462,0.3011,0.5771,0.5267,-0.5034,-0.3982,0.2753,1,0.397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_IntCurlag",0.2272,0.0808,0.3371,-0.0554,-0.2396,0.1511,0.5106,-0.2494,-0.0711,0.5593,-0.605,-0.0206,0.1462,0.397,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3208,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspct",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4664,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trust",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4152,0,0,0,0,0,0,0,0,0,0,0,0
"C_Org",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1765,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctv",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4402,0,0,0,0,0,0,0,0,0,0
"C_Rspnbl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4265,0,0,0,0,0,0,0,0,0
"E_Assert",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3027,0,0,0,0,0,0,0,0
"E_EnerLev",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2897,0,0,0,0,0,0,0
"E_Scblty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3573,0,0,0,0,0,0
"N_Anxty",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0672,0,0,0,0,0
"N_Depr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393,0,0,0,0
"N_EmoVol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7636,0,0,0
"O_AesSens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1868,0,0
"O_CrtvImag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2854,0
"O_IntCur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3155
