"","cumsumT","A_Cmpnlag","A_Rspctlag","A_Trustlag","C_Orglag","C_Prdctvlag","C_Rspnbllag","E_Assertlag","E_EnerLevlag","E_Scbltylag","N_Anxtylag","N_Deprlag","N_EmoVollag","O_AesSenslag","O_CrtvImaglag","O_IntCurlag","A_Cmpn","A_Rspct","A_Trust","C_Org","C_Prdctv","C_Rspnbl","E_Assert","E_EnerLev","E_Scblty","N_Anxty","N_Depr","N_EmoVol","O_AesSens","O_CrtvImag","O_IntCur"
"cumsumT",1,0.2341,0.1255,0.1169,-0.0526,-0.0833,0.0744,-0.212,0.0313,-0.0054,-0.1327,-0.1218,-0.1663,-0.0611,0.2175,0.0892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Cmpnlag",0.2341,1,0.3378,0.2448,0.2107,0.2544,0.241,0.0241,0.3594,0.3669,-0.1728,-0.1656,-0.1917,0.1921,0.1113,-0.0044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Rspctlag",0.1255,0.3378,1,0.3123,0.0216,0.3169,0.3207,-0.2336,0.2395,0.0619,-0.0575,-0.3184,-0.301,0.1718,0.1565,0.1591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A_Trustlag",0.1169,0.2448,0.3123,1,0.2919,0.1402,0.2031,-0.158,0.3691,0.2917,-0.4305,-0.4173,-0.3255,0.0787,0.1509,0.0226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Orglag",-0.0526,0.2107,0.0216,0.2919,1,0.4312,0.3633,0.3759,0.4189,0.507,-0.4988,-0.2424,-0.3533,0.1734,0.2613,0.1771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Prdctvlag",-0.0833,0.2544,0.3169,0.1402,0.4312,1,0.3993,0.2092,0.434,0.2856,-0.2873,-0.4408,-0.376,0.28,0.346,0.0979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_Rspnbllag",0.0744,0.241,0.3207,0.2031,0.3633,0.3993,1,0.0309,0.2799,0.2643,-0.2195,-0.3326,-0.2729,-6e-04,-0.0487,0.2418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Assertlag",-0.212,0.0241,-0.2336,-0.158,0.3759,0.2092,0.0309,1,0.2961,0.4258,-0.0448,0.0881,0.1568,0.1644,0.1698,0.2437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_EnerLevlag",0.0313,0.3594,0.2395,0.3691,0.4189,0.434,0.2799,0.2961,1,0.6004,-0.3688,-0.485,-0.3261,0.2566,0.3051,0.0429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E_Scbltylag",-0.0054,0.3669,0.0619,0.2917,0.507,0.2856,0.2643,0.4258,0.6004,1,-0.3775,-0.183,-0.1643,0.177,0.2603,0.3693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Anxtylag",-0.1327,-0.1728,-0.0575,-0.4305,-0.4988,-0.2873,-0.2195,-0.0448,-0.3688,-0.3775,1,0.4181,0.448,-0.0858,-0.2416,-0.1631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_Deprlag",-0.1218,-0.1656,-0.3184,-0.4173,-0.2424,-0.4408,-0.3326,0.0881,-0.485,-0.183,0.4181,1,0.5983,-0.0986,-0.1166,-0.1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N_EmoVollag",-0.1663,-0.1917,-0.301,-0.3255,-0.3533,-0.376,-0.2729,0.1568,-0.3261,-0.1643,0.448,0.5983,1,-0.1308,-0.1443,-0.0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O_AesSenslag",-0.0611,0.1921,0.1718,0.0787,0.1734,0.28,-6e-04,0.1644,0.2566,0.177,-0.0858,-0.0986,-0.1308,1,0.1806,0.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
